date,title,link,content
2023-11-15 19:12:01,[정치톡톡] '윤심' 혁신위에 중진 반응은? / 한동훈 아내 적십자 봉사에 등장,https://n.news.naver.com/mnews/article/057/0001780928?sid=100,
2023-11-15 11:36:30,민주 강민정 “정치 퇴행 책임져야…차기 총선 불출마”,https://n.news.naver.com/mnews/article/056/0011602710?sid=100,
2023-11-15 03:04:08,"‘에어부산 분리매각’ 정치권도 가세…부산與, TF와 산은 압박 논의 계획",https://n.news.naver.com/mnews/article/658/0000058056?sid=101,
2023-11-15 12:02:16,"ICC 소장 ""푸틴, ICC 재판관 1/3 지명수배…정치 행위라고 생각""",https://n.news.naver.com/mnews/article/421/0007177428?sid=102,
2023-11-13 10:14:59,"이재명 ""거부권 행사 정치 그만하고 방송법 즉각 수용해야""",https://n.news.naver.com/mnews/article/001/0014325964?sid=100,
2023-11-15 11:29:01,"김의겸 의원 ""호남 정치 활력을 불어넣을 새로운 리더십 절실""",https://n.news.naver.com/mnews/article/079/0003833891?sid=102,
2023-11-14 17:29:01,"민주당, 거친 표현 써가며 연일 한동훈 직격…韓 ""정치적 계산으로 탄핵 남발“",https://n.news.naver.com/mnews/article/088/0000845949?sid=100,
2023-11-13 10:57:03,"민주 민형배, 한동훈에 ""정치 후지게 한 건 한동훈 같은  XX""",https://n.news.naver.com/mnews/article/003/0012205119?sid=100,
2023-11-15 04:09:41,"한동훈 ""민주, 하루에 한 명씩 탄핵 추진...정치 계산 남발""",https://n.news.naver.com/mnews/article/052/0001960087?sid=102,
2023-11-15 15:11:01,中 정치보복 당할라…폭스콘 '비상계획' 마련,https://n.news.naver.com/mnews/article/018/0005620401?sid=104,
2023-11-14 13:14:34,이상휘 전 대통령실 춘추관장 '공감하는 정치하겠다',https://n.news.naver.com/mnews/article/421/0007174743?sid=102,
2023-11-14 16:33:03,"""수능 GG치고 LoL자""…기괴한 정치인 '응원 현수막' 시끌시끌",https://n.news.naver.com/mnews/article/011/0004261281?sid=100,
2023-11-14 10:05:01,"민주 민형배 ""정치 후지게 한 건 한동훈 같은 XX""",https://n.news.naver.com/mnews/article/422/0000629208?sid=100,
2023-11-15 18:01:13,尹대통령에 '쪽지메모' 전달한 정대철 “검사출신 넘어 폭넓은 인사 등용하라”[정치행간],https://n.news.naver.com/mnews/article/469/0000770459?sid=100,
2023-11-15 11:44:01,"""정치권 보면 숨쉬기 힘들다""고 하자 ""KBS 보면 숨쉬기 힘든 것 똑같아""",https://n.news.naver.com/mnews/article/006/0000120841?sid=100,
2023-11-14 11:27:05,"국민의힘, 野 '한동훈 같은 XX' 비판에 ""품위 잃은 막말, 정치 퇴보 진짜 원인""",https://n.news.naver.com/mnews/article/088/0000845823?sid=100,
2023-11-14 16:29:01,"'노무현국밥집' 회동 강기정·김동연 ""김포, 서울 편입은 정치쇼""",https://n.news.naver.com/mnews/article/047/0002412671?sid=102,
