Time,Title,Network,URL
2023.11.02.,"[팩트체크] 김포, 서울의 쓰레기장 된다?…가능성 따져보니",JTBC,https://n.news.naver.com/article/448/0000434522
2023.11.02.,[팩트체크]남현희가 받은 벤틀리·명품…'이럴 땐' 몰수된다,뉴스1,https://n.news.naver.com/article/437/0000365652
2023.11.01.,[따져보니] '北목선 귀순'…軍 포상 논란,TV조선,https://n.news.naver.com/article/421/0007148618
2023.11.01.,[팩트체크] 김포시 숙원 사업 '5호선 연장' 서울시 예산으로?,JTBC,https://n.news.naver.com/article/448/0000434312
2023.10.31.,[따져보니] 서울시 김포구…실현 가능성은?,TV조선,https://n.news.naver.com/article/437/0000365480
2023.10.31.,통근자가 많아 김포를 서울로? 경기도에서 10위권 [팩트체크K],KBS,https://n.news.naver.com/article/448/0000434121
2023.10.30.,"[따져보니] 공매도 다시 전면금지?…""원점서 재검토""",TV조선,https://n.news.naver.com/article/056/0011592793
2023.10.30.,[팩트체크]내년부터 인공눈물 가격이 4만 원이 된다?,이데일리,https://n.news.naver.com/article/448/0000433945
2023.10.29.,"[팩트와이] ""조중동 인터넷 기사도 방심위가 심의""...신문사가 응할까?",YTN,https://n.news.naver.com/article/018/0005607321
2023.10.29.,[따져보니] 갑작스런 '거래절벽'…서울 아파트에 무슨 일이?,TV조선,https://n.news.naver.com/article/052/0001953045
2023.10.29.,"[팩트와이] ""조중동 인터넷 기사도 방심위가 심의""...신문사가 응할까?",YTN,https://n.news.naver.com/article/448/0000433756
2023.10.28.,"[알고보니] 이태원 참사의 진상, 대부분 규명됐다?",MBC,https://n.news.naver.com/article/052/0001952935
2023.10.28.,[따져보니] '연금부족' 심각한데 '맹탕 개혁안'…공은 국회로?,TV조선,https://n.news.naver.com/article/214/0001308247
2023.10.28.,"[팩트와이] ""김승희 딸, 학폭위 끝나 강제전학 어렵다""...임태희 교육감 발언 따져보니",YTN,https://n.news.naver.com/article/448/0000433694
2023.10.27.,[따져보니] 불상 반환 판결 의미는?,TV조선,https://n.news.naver.com/article/052/0001952678
2023.10.27.,"[사실확인] ""입지 마세요""…핼러윈 경찰 유사 제복 입어도 처벌?",MBN,https://n.news.naver.com/article/448/0000433646
2023.10.27.,"""개원 의사가 7급 공무원보다 못 번다?"" 주장은 '거짓' [오마이팩트]",오마이뉴스,https://n.news.naver.com/article/057/0001777059
2023.10.26.,[따져보니] 국회의원 허위 발언…'면책' 어디까지?,TV조선,https://n.news.naver.com/article/047/0002410803
2023.10.26.,사기 전과가 있으면 개명이 불가하다? [사실확인],MBN,https://n.news.naver.com/article/448/0000433461
2023.10.25.,[따져보니] 고위험 성범죄자 시설 거주…논란은?,TV조선,https://n.news.naver.com/article/057/0001776712
2023.10.25.,국민연금에 ‘숨은 부채’가 1825조원에 달해 1인당 8200만원을 빚지고 있다 [팩트체크],매일경제,https://n.news.naver.com/article/448/0000433279
2023.10.24.,[따져보니] 늘어나는 北 주민 귀순…배경은?,TV조선,https://n.news.naver.com/article/009/0005204610
2023.10.23.,"[팩트체크] 슈퍼챗을 통한 정치인 후원, 정치자금법 위반이다?",YTN,https://n.news.naver.com/article/448/0000433109
2023.10.23.,[팩트체크] 반려동물 기내 탑승에 관한 규정은?,YTN,https://n.news.naver.com/article/052/0001950730
2023.10.23.,[팩트체크] 세금 안 내고 버티면 결국은 안 내도 되는 걸까?,YTN,https://n.news.naver.com/article/052/0001950729
2023.10.23.,[따져보니] 여론조사 '들쭉날쭉'…이유는?,TV조선,https://n.news.naver.com/article/052/0001950728
2023.10.23.,[팩트체크] 의협이 내세우는 '9·4 의정합의' 법적 구속력 있다? 없다?,JTBC,https://n.news.naver.com/article/448/0000432928
2023.10.22.,"[따져보니] 마약사범, 공범 실토하면 '처벌 감형' 검토…효과 있을까",TV조선,https://n.news.naver.com/article/437/0000364298
2023.10.21.,"[사실은] 한국형 아우토반 논쟁…속도 무제한, 안전할까",SBS,https://n.news.naver.com/article/448/0000432752
2023.10.21.,[따져보니] 국립대병원 인력난…지역·필수의료 유입 어떻게?,TV조선,https://n.news.naver.com/article/055/0001099275
2023.10.20.,[따져보니] '빈대주의보' 왜?… 퇴치 어떻게?,TV조선,https://n.news.naver.com/article/448/0000432694
2023.10.19.,[따져보니] 가자지구 병원 폭발…누구 소행?,TV조선,https://n.news.naver.com/article/448/0000432649
2023.10.18.,[따져보니] '전문직 증원'…소비자에겐 이득?,TV조선,https://n.news.naver.com/article/448/0000432465
2023.10.18.,[팩트체크] 의대 정원 18년째 '3058명'…적정한 수치인가?,JTBC,https://n.news.naver.com/article/448/0000432260
2023.10.18.,[알고보니] 의대 증원 안해도 의사 남아돌게 된다?,MBC,https://n.news.naver.com/article/437/0000363717
2023.10.18.,"의대 정원 확대, <조선> 3년 전과 이렇게 달라졌다 [오마이팩트]",오마이뉴스,https://n.news.naver.com/article/214/0001306087
2023.10.18.,[팩트체크] 쉬는 인구와 고령 취업자가 고용지표 호조에 영향을 줬다?,이데일리,https://n.news.naver.com/article/047/0002409862
2023.10.17.,"[따져보니] 북한 무기와 기술, 하마스로…거래 경로는?",TV조선,https://n.news.naver.com/article/018/0005598778
2023.10.16.,[따져보니] 의대 정원 논란…의사 부족 얼마나?,TV조선,https://n.news.naver.com/article/448/0000432082
2023.10.15.,[따져보니] 끝이 안 보이는 고금리 시대…美 연준 '2% 물가 목표'는 불변?,TV조선,https://n.news.naver.com/article/448/0000431901
2023.10.14.,갈비 사자' 또 있다?…동물원에서 죽어가는 멸종 위기 동물 한 해에 400마리 꼴[노컷체크],노컷뉴스,https://n.news.naver.com/article/448/0000431751
2023.10.13.,[따져보니] 유명인 사칭 투자광고…막을 방법이 없다?,TV조선,https://n.news.naver.com/article/079/0003822876
2023.10.12.,"[따져보니] '이-팔 전쟁' SNS 가짜정보 범람, 왜?",TV조선,https://n.news.naver.com/article/448/0000431606
2023.10.12.,[사실은] '압도적 군사력' 이스라엘…전쟁의 향방은?,SBS,https://n.news.naver.com/article/448/0000431448
2023.10.11.,"[따져보니] '김행 방지법'까지…청문회 무용론, 왜?",TV조선,https://n.news.naver.com/article/055/0001096820
2023.10.11.,"닭장에 갇힌 이스라엘 어린이? ""전쟁 전 촬영, 거짓 영상"" [오마이팩트]",오마이뉴스,https://n.news.naver.com/article/448/0000431263
2023.10.11.,[팩트체크]尹정부 고용지표 역대 최고…청년·노인 고용률 월등히 높아,아시아경제,https://n.news.naver.com/article/047/0002409012
2023.10.11.,"[팩트체크]나라빚 증가속도 1등 文정부, 성장률은 1998년 이후 '최저'",아시아경제,https://n.news.naver.com/article/277/0005324524
2023.10.09.,[따져보니] 하마스 '극단적 공격'…배경과 이유는?,TV조선,https://n.news.naver.com/article/277/0005324525
2023.10.08.,"[팩트체크] 맨발 걷기, 정말로 건강에 효과 있을까?",YTN,https://n.news.naver.com/article/448/0000430899
2023.10.08.,[팩트체크] 우리나라 골프장 숫자가 세계 8위라고?,YTN,https://n.news.naver.com/article/052/0001944555
2023.10.08.,"[팩트체크] '효도백신 3종세트', 정말 효도 선물일까?",YTN,https://n.news.naver.com/article/052/0001944553
